excel_id,row,title,original_title,release_year,runtime_minutes,genres,countries,director,cast,imdb,tomatometer,popcornmeter,justwatch_url,poster_url
1,2,Die Verurteilten,The Shawshank Redemption,1994,142,Drama | Krimi,USA,Frank Darabont,Tim Robbins | Morgan Freeman | Bob Gunton,9.3,89.000,98.000,https://www.justwatch.com/de/Film/Die-Verurteilten,
2,3,Der Pate,The Godfather,1972,175,Drama | Krimi,USA,Francis Ford Coppola,Marlon Brando | Al Pacino | James Caan,9.2,97.000,98.000,https://www.justwatch.com/de/Film/Der-Pate,
3,4,Die zwölf Geschworenen,12 Angry Men,1957,96,Drama | Thriller,USA,Sidney Lumet,Henry Fonda | Lee J. Cobb | Martin Balsam,9,100.000,97.000,https://www.justwatch.com/de/Film/Die-zwoelf-Geschworenen-1957,
4,5,Schindlers Liste,Schindler’s List,1993,187,Drama | Krieg,USA,Steven Spielberg,Liam Neeson | Ben Kingsley | Ralph Fiennes,9,98.000,97.000,https://www.justwatch.com/de/Film/Schindlers-Liste,
5,6,Der Pate II,The Godfather Part II,1974,202,Drama | Krimi,USA,Francis Ford Coppola,Al Pacino | Robert de Niro | Robert Duvall,9,96.000,97.000,https://www.justwatch.com/de/Film/Der-Pate-2,
6,7,Batman: The Dark Knight,,2008,152,Action | Krimi,UK | USA,Christopher Nolan,Christian Bale | Heath Ledger | Aaron Eckhart,9,94.000,94.000,https://www.justwatch.com/de/Film/The-Dark-Knight,
7,8,Herr der Ringe: Die Rückkehr des Königs,The Lord of the Rings: The Return of the King,2003,201,Abenteuer | Fantasy,NZL | USA,Peter Jackson,Elijah Wood | Viggo Mortensen | Ian McKellen,9,94.000,86.000,https://www.justwatch.com/de/Film/Der-Herr-der-Ringe-Die-Rueckkehr-des-Koenigs,
8,9,Pulp Fiction,,1994,154,Krimi | Thriller,USA,Quentin Tarantino,John Travolta | Samuel L. Jackson | Bruce Willis,8.9,92.000,96.000,https://www.justwatch.com/de/Film/Pulp-Fiction,
9,10,Herr der Ringe: Die Gefährten,The Lord of the Rings: The Fellowship of the Ring,2001,178,Abenteuer | Fantasy,NZL | USA,Peter Jackson,Elijah Wood | Ian McKellen | Viggo Mortensen,8.9,92.000,95.000,https://www.justwatch.com/de/Film/Der-Herr-der-Ringe-Die-Gefaehrten,
1297,11,Kill Bill: The Whole Bloody Affair,,2006,275,Action | Thriller,USA,Quentin Tarantino,Uma Thurman | David Carradine | Lucy Liu,8.8,100.000,98.000,https://www.justwatch.com/de/Film/kill-bill-the-whole-bloody-affair,
10,12,Zwei glorreiche Halunken,"The Good, the Bad and the Ugly",1966,161,Abenteuer | Western,ESP | ITA,Sergio Leone,Clint Eastwood | Eli Wallach | Lee Van Cleef,8.8,97.000,97.000,https://www.justwatch.com/de/Film/Zwei-glorreiche-Halunken,
11,13,Herr der Ringe: Die Zwei Türme,The Lord of the Rings: The Two Towers,2002,179,Abenteuer | Fantasy,NZL | USA,Peter Jackson,Elijah Wood | Viggo Mortensen | Ian McKellen,8.8,95.000,95.000,https://www.justwatch.com/de/Film/Der-Herr-der-Ringe-Die-zwei-Tuerme,
12,14,12th Fail,,2023,146,Biografie | Drama,IND,Vidhu Vinod Chopra,Vikrant Massey | Medha Shankar | Anant Joshi,8.8,91.000,97.000,https://www.justwatch.com/de/Film/12th-fail,
13,15,Inception,,2010,148,Action | Sci-Fi,UK | USA,Christopher Nolan,Leonardo DiCaprio | Joseph Gordon-Levitt | Cillian Murphy,8.8,87.000,91.000,https://www.justwatch.com/de/Film/Inception,
14,16,Fight Club,,1999,139,Drama | Thriller,USA,David Fincher,Brad Pitt | Edward Norton | Helena Bonham Carter,8.8,81.000,96.000,https://www.justwatch.com/de/Film/Fight-Club,
15,17,Forrest Gump,,1994,142,Drama | Komödie,USA,Robert Zemeckis,Tom Hanks | Robin Wright | Gary Sinise,8.8,75.000,95.000,https://www.justwatch.com/de/Film/Forrest-Gump,
16,18,Star Wars: Episode V – Das Imperium schlägt zurück,The Empire Strikes Back,1980,124,Abenteuer | Sci-Fi,USA,Irvin Kershner,Mark Hamill | Harrison Ford | Carrie Fisher,8.7,95.000,97.000,https://www.justwatch.com/de/Film/Star-Wars-Episode-V-Das-Imperium-schlaegt-zurueck,
17,19,GoodFellas,,1990,145,Krimi | Thriller,USA,Martin Scorsese,Robert de Niro | Ray Liotta | Joe Pesci,8.7,94.000,97.000,https://www.justwatch.com/de/Film/Good-Fellas-Drei-Jahrzehnte-in-der-Mafia,
18,20,Einer flog über das Kuckucksnest,One Flew Over the Cuckoo’s Nest,1975,129,Drama | Komödie,USA,Miloš Forman,Jack Nicholson | Louise Fletcher | Brad Dourif,8.7,93.000,96.000,https://www.justwatch.com/de/Film/Einer-flog-ueber-das-Kuckucksnest,
19,21,Matrix,The Matrix,1999,136,Action | Sci-Fi,AUS | USA,"Lana Wachowski, Lilly Wachowski",Keanu Reeves | Laurence Fishburn | Carrie-Anne Moss,8.7,83.000,85.000,https://www.justwatch.com/de/Film/Matrix,
20,22,Interstellar,,2014,169,Abenteuer | Sci-Fi,UK | USA,Christopher Nolan,Matthew McConaughey | Anne Hathaway | Jessica Chastain,8.7,73.000,87.000,https://www.justwatch.com/de/Film/Interstellar,
21,23,Die sieben Samurai,七人の侍 / Shichinin no Samurai,1954,207,Action | Drama,JAP,Akira Kurosawa,Toshirô Mifune | Takashi Shimura | Keiko Tsushima,8.6,100.000,97.000,https://www.justwatch.com/de/Film/Die-sieben-Samurai,
22,24,Harakiri,切腹  / Seppuku,1962,133,Drama | Mystery,JAP,Masaki Kobayashi,Tatsuya Nakadai | Akira Ishihama | Shima Iwashita,8.6,100.000,97.000,https://www.justwatch.com/de/Film/Harakiri,
23,25,Chihiros Reise ins Zauberland,千と千尋の神隠し / Sen to Chihiro no Kamikakushi,2001,125,Abenteuer | Anime,JAP,Hayao Miyazaki,,8.6,96.000,96.000,https://www.justwatch.com/de/Film/Chihiros-Reise-ins-Zauberland,
24,26,Das Schweigen der Lämmer,The Silence of the Lambs,1991,118,Horror | Krimi,USA,Jonathan Demme,Anthony Hopkins | Jodie Foster | Scott Glenn,8.6,95.000,95.000,https://www.justwatch.com/de/Film/Das-Schweigen-der-Laemmer,
25,27,Der Soldat James Ryan,Saving Private Ryan,1998,169,Action | Krieg,USA,Steven Spielberg,Tom Hanks | Matt Damon | Tom Sizemore,8.6,94.000,95.000,https://www.justwatch.com/de/Film/Der-Soldat-James-Ryan,
26,28,Ist das Leben nicht schön?,It’s a Wonderful Life,1946,125,Drama | Komödie,USA,Frank Capra,James Stewart | Donna Reed | Lionel Barrymore,8.6,94.000,95.000,https://www.justwatch.com/de/Film/Its-a-wonderful-life,
27,29,Krieg der Sterne,Star Wars: A New Hope,1977,121,Abenteuer | Sci-Fi,USA,George Lucas,Mark Hamill | Harrison Ford | Carrie Fisher,8.6,93.000,96.000,https://www.justwatch.com/de/Film/Krieg-der-Sterne,
28,30,City of God,Cidade de Deus,2002,130,Drama | Krimi,BRA | FRA | USA,Fernando Meirelles,Alexandre Rodrigues | Leandro Firmino | Phellipe Haagensen,8.6,91.000,97.000,https://www.justwatch.com/de/Film/City-of-God,
29,31,Terminator 2 – Tag der Abrechnung,Terminator 2: Judgment Day,1991,137,Action | Sci-Fi,USA,James Cameron,Arnold Schwarzenegger | Linda Hamilton | Edward Furlong,8.6,91.000,95.000,https://www.justwatch.com/de/Film/Terminator-2-Tag-der-Abrechnung,
30,32,Sieben,Se7en,1995,122,Krimi | Thriller,USA,David Fincher,Morgan Freeman | Brad Pitt | Kevin Spacey,8.6,84.000,95.000,https://www.justwatch.com/de/Film/Sieben,
31,33,Das Leben ist schön,La vita è bella,1997,116,Drama | Komödie,ITA,Roberto Benigni,Roberto Benigni | Nicoletta Braschi | Giorgio Cantarini,8.6,81.000,96.000,https://www.justwatch.com/de/Film/Das-Leben-ist-schoen,
32,34,The Green Mile,,1999,189,Drama | Fantasy,USA,Frank Darabont,Tom Hanks | Michael Clarke Duncan | David Morse,8.6,79.000,94.000,https://www.justwatch.com/de/Film/The-Green-Mile,
33,35,Die letzten Glühwürmchen,火垂るの墓 / Hotaru no Haka,1988,89,Drama | Krieg,JAP,Isao Takahata,,8.5,100.000,95.000,https://www.justwatch.com/de/Film/Die-letzten-Gluehwuermchen,
34,36,Parasite,기생충 / Gisaengchung,2019,132,Komödie | Thriller,KOR,Bong Joon-Ho,Song Kang-ho | Lee Sun-kyun | Cho Yeo-jeong,8.5,99.000,95.000,https://www.justwatch.com/de/Film/Parasite-2019,
35,37,Casablanca,,1942,102,Drama | Romanze,USA,Michael Curtiz,Humphrey Bogart | Ingrid Bergman | Paul Henreid,8.5,99.000,95.000,https://www.justwatch.com/de/Film/Casablanca,
36,38,Das Fenster zum Hof,Rear Window,1954,110,Mystery | Thriller,USA,Alfred Hitchcock,James Stewart | Grace Kelly | Wendell Corey,8.5,98.000,95.000,https://www.justwatch.com/de/Film/Das-Fenster-zum-Hof-1954,
37,39,Moderne Zeiten,Modern Times,1936,87,Drama | Komödie,USA,Charlie Chaplin,Charlie Chaplin | Paulette Goddard | Henry Bergman,8.5,98.000,95.000,https://www.justwatch.com/de/Film/Moderne-Zeiten,
38,40,Psycho,,1960,108,Horror | Thriller,USA,Alfred Hitchcock,Anthony Perkins | Janet Leigh | Vera Miles,8.5,97.000,95.000,https://www.justwatch.com/de/Film/Psycho,
39,41,Spiel mir das Lied vom Tod,Once Upon a Time in the West,1968,175,Drama | Western,ITA | USA,Sergio Leone,Henry Fonda | Charles Bronson | Claudia Cardinale,8.5,96.000,94.000,https://www.justwatch.com/de/Film/Spiel-mir-das-Lied-vom-Tod,
40,42,Der Pianist,The Pianist,2002,150,Drama | Krieg,FRA | GER | ITA | UK,Roman Polanski,Adrien Brody | Thomas Kretschmann | Frank Finlay,8.5,95.000,96.000,https://www.justwatch.com/de/Film/Der-Pianist,
41,43,Lichter der Großstadt,City Lights,1931,87,Komödie | Romanze,USA,Charlie Chaplin,Charlie Chaplin | Virginia Cherrill | Harry Myers,8.5,95.000,95.000,https://www.justwatch.com/de/Film/Lichter-der-Grossstadt,
1290,44,Der Astronaut – Project Hail Mary,Project Hail Mary,2026,156,Abenteuer | Sci-Fi,USA,Drew Goddard,Ryan Gosling | Sandra Hüller | Milana Vayntrub,8.5,94.000,96.000,https://www.justwatch.com/de/Film/der-astronaut,
42,45,Whiplash,,2014,107,Drama | Musikfilm,USA,Damien Chazelle,Miles Teller | J.K. Simmons | Paul Reiser,8.5,94.000,94.000,https://www.justwatch.com/de/Film/Whiplash,
43,46,Zurück in die Zukunft,Back to the Future,1985,116,Komödie | Sci-Fi,USA,Robert Zemeckis,Michael J. Fox | Christopher Llyod | Lea Thompson,8.5,93.000,95.000,https://www.justwatch.com/de/Film/Zurueck-in-die-Zukunft,
44,47,Alien - Das unheimliche Wesen aus einer fremden Welt,Alien,1979,116,Horror | Sci-Fi,UK | USA,Ridley Scott,Sigourney Weaver | Tom Skerritt | John Hurt,8.5,93.000,94.000,https://www.justwatch.com/de/Film/Alien,
45,48,Dune: Part Two,,2024,166,Abenteuer | Sci-Fi,USA,Denis Villeneuve,Timothée Chalamet | Zendaya | Rebecca Ferguson,8.5,92.000,95.000,https://www.justwatch.com/de/Film/Dune-Part-Two,
46,49,Cinema Paradiso,Nuovo Cinema Paradiso,1988,155,Drama | Komödie,FRA | ITA,Giuseppe Tornatore,Philippe Noiret | Jacques Perrin | Salvatore Cascio,8.5,91.000,96.000,https://www.justwatch.com/de/Film/Cinema-Paradiso,
47,50,Die üblichen Verdächtigen,The Usual Suspects,1995,106,Krimi | Thriller,USA,Bryan Singer,Kevin Spacey | Gabriel Byrne | Stephen Baldwin,8.5,87.000,96.000,https://www.justwatch.com/de/Film/Die-ueblichen-Verdaechtigen,
48,51,Django Unchained,,2012,165,Action | Western,USA,Quentin Tarantino,Jamie Foxx | Christoph Waltz | Leonardo diCaprio,8.5,87.000,92.000,https://www.justwatch.com/de/Film/Django-Unchained,
49,52,American History X,,1998,119,Drama | Krimi,USA,Tony Kaye,Edward Norton | Edward Furlong | Beverly D'Angelo,8.5,84.000,96.000,https://www.justwatch.com/de/Film/American-History-X,
50,53,Gladiator,,2000,155,Abenteuer | Action,UK | USA,Ridley Scott,Russell Crowe | Joaquin Phoenix | Connie Nielsen,8.5,80.000,87.000,https://www.justwatch.com/de/Film/Gladiator,
51,54,Prestige – Die Meister der Magie,The Prestige,2006,130,Drama | Mystery,UK | USA,Christopher Nolan,Hugh Jackman | Christian Bale | Michael Caine,8.5,77.000,92.000,https://www.justwatch.com/de/Film/Prestige-Die-Meister-der-Magie,
52,55,Léon – Der Profi,Léon: The Professional,1994,110,Action | Thriller,FRA,Luc Besson,Jean Reno | Natalie Portman | Gary Oldman,8.5,75.000,95.000,https://www.justwatch.com/de/Film/Leon-Der-Profi,
53,56,Ziemlich beste Freunde,Intouchables,2011,112,Drama | Komödie,FRA,"Olivier Nakache, Éric Toledano",François Cluzet | Omar Sy | Anne Le Ny,8.5,75.000,93.000,https://www.justwatch.com/de/Film/Ziemlich-beste-Freunde,
1293,57,Verflucht normal,I Swear,2025,121,Biografie | Drama,UK,Kirk Jones,Robert Aramayo | Peter Mullan | Maxine Peake,8.4,100.000,,https://www.justwatch.com/de/Film/i-swear,
54,58,Sansho Dayu – Ein Leben ohne Freiheit,山椒大夫 / Sanshō Dayū,1954,124,Drama | Tragödie,JAP,Kenji Mizoguchi,Kinuyo Tanaka | Yoshiaki Hanayagi | Kyōko Kagawa,8.4,100.000,95.000,https://www.justwatch.com/de/Film/Sansho-Dayu-Ein-Leben-ohne-Freiheit,
55,59,Zeugin der Anklage,Witness for the Prosecution,1957,113,Drama | Krimi,USA,Billy Wilder,Tyrone Power | Marlene Dietrich | Charles Laughton,8.4,100.000,95.000,https://www.justwatch.com/de/Film/Zeugin-der-Anklage,
56,60,3 Idiots,,2009,171,Drama | Komödie,IND,Rajkumar Hirani,Aamir Khan | R. Madhavan | Sharman Joshi,8.4,100.000,93.000,https://www.justwatch.com/de/Film/3-Idiots,
57,61,Das Boot,,1981,149,Drama | Krieg,GER,Wolfgang Petersen,Jürgen Prochnow | Herbert Grönemeyer | Klaus Wennemann,8.4,98.000,95.000,https://www.justwatch.com/de/Film/Das-Boot,
58,62,Your Name.,君の名は。 / Kimi no Na wa.,2016,107,Animation | Drama,JAP,Makoto Shinkai,,8.4,98.000,95.000,https://www.justwatch.com/de/Film/Kimi-no-Na-wa,
59,63,Boulevard der Dämmerung,Sunset Boulevard,1950,110,Drama | Tragödie,USA,Billy Wilder,William Holden | Gloria Swanson | Erich von Stroheim,8.4,98.000,94.000,https://www.justwatch.com/de/Film/Sunset-Boulevard-Boulevard-der-Daemmerung,
60,64,Apus Weg ins Leben: Apus Welt,Apur Sansar,1959,107,Drama | Komödie,IND,Satyajit Ray,Soumitra Chatterjee | Sharmila Tagore | Alok Chakravarty,8.4,97.000,95.000,https://www.justwatch.com/de/Film/Apus-Weg-ins-Leben-3-Apus-Welt,
61,65,Spider-Man: A New Universe,Spider-Man: Into the Spider-Verse,2018,116,Action | Animation,USA,"Bob Persichetti, Peter Ramsey, Rodney Rothman",Shameik Moore | Jake Johnson | Hailee Steinfeld,8.4,97.000,94.000,https://www.justwatch.com/de/Film/Spider-Man-A-New-Universe,
62,66,Wege zum Ruhm,Paths of Glory,1957,88,Action | Krieg,USA,Stanley Kubrick,Kirk Douglas | Ralph Meeker | Adolphe Menjou,8.4,96.000,95.000,https://www.justwatch.com/de/Film/Wege-zum-Ruhm,
63,67,Zwischen Himmel und Hölle,天国と地獄 / Tengoku to Jigoku,1963,143,Drama | Krimi,JAP,Akira Kurosawa,Toshirô Mifune | Tatsuya Nakadai | Tsutomu Yamazaki,8.4,96.000,95.000,https://www.justwatch.com/de/Film/Zwischen-Himmel-und-Hoelle-1963,
64,68,Jäger des verlorenen Schatzes,Raiders of the Lost Ark,1981,115,Abenteuer | Action,USA,Steven Spielberg,Harrison Ford | Karen Allen | Paul Freeman,8.4,94.000,96.000,https://www.justwatch.com/de/Film/Jaeger-des-verlorenen-Schatzes,
65,69,Memento,,2000,113,Krimi | Thriller,USA,Christopher Nolan,Guy Pearce | Carrie-Anne Moss | Joe Pantoliano,8.4,94.000,94.000,https://www.justwatch.com/de/Film/Memento,
66,70,Alien - Die Rückkehr,Aliens,1986,137,Horror | Sci-Fi,USA,James Cameron,Sigourney Weaver | Michael Biehn | Carrie Henn,8.4,94.000,94.000,https://www.justwatch.com/de/Film/Aliens-Die-Rueckkehr,
67,71,Das Leben der Anderen,,2006,137,Drama | Thriller,GER,Florian Henckel von Donnersmarck,Ulrich Mühe | Sebastian Koch | Martina Gedeck,8.4,92.000,96.000,https://www.justwatch.com/de/Film/Das-Leben-der-Anderen,
68,72,Amadeus,,1984,161,Biografie | Drama,USA,Miloš Forman,F. Murray Abraham | Tom Hulce | Elizabeth Berridge,8.4,90.000,95.000,https://www.justwatch.com/de/Film/Amadeus,
69,73,Apocalypse Now,,1979,153,Action | Krieg,USA,Francis Ford Coppola,Martin Sheen | Marlon Brando | Robert Duvall,8.4,90.000,94.000,https://www.justwatch.com/de/Film/Apocalypse-Now-Final-Cut,
70,74,Capernaum: Stadt der Hoffnung,Capharnaüm,2018,126,Drama | Drama,LBN,Nadine Labaki,Zain Al Rafeea | Yordanos Shiferaw | Boluwatife Treasure Bankole,8.4,90.000,93.000,https://www.justwatch.com/de/Film/Capernaum,
71,75,Inglourious Basterds,,2009,153,Action | Krieg,GER | USA,Quentin Tarantino,Brad Pitt | Christoph Waltz | Mélanie Laurent,8.4,89.000,88.000,https://www.justwatch.com/de/Film/Inglourious-Basterds,
72,76,Batman: The Dark Knight Rises,,2012,165,Action | Krimi,UK | USA,Christopher Nolan,Christian Bale | Tom Hardy | Anne Hathaway,8.4,87.000,90.000,https://www.justwatch.com/de/Film/Batman-The-Dark-Knight-Rise,
73,77,Maharaja,,2024,140,Action | Thriller,IND,Nithilan Saminathan,Vijay Sethupathi | Anurag Kashyap | Mamta Mohandas,8.4,83.000,95.000,https://www.justwatch.com/de/Film/maharaja-2024,
74,78,The Shining,,1980,146,Drama | Horror,UK | USA,Stanley Kubrick,Jack Nicholson | Shelley Duvall | Danny Lloyd,8.4,83.000,93.000,https://www.justwatch.com/de/Film/Shining,
75,79,Oldboy,,2003,119,Action | Thriller,KOR,Park Chan-wook,Choi Min-sik | Yoo Ji-tae | Kang Hye-jung,8.4,82.000,94.000,https://www.justwatch.com/de/Film/Oldboy,
76,80,Joker,,2019,122,Drama | Thriller,USA,Todd Phillips,Joaquin Phoenix | Robert de Niro | Zazie Beetz,8.4,68.000,89.000,https://www.justwatch.com/de/Film/Joker-2019,
77,81,M – Eine Stadt sucht einen Mörder,,1931,117,Krimi | Thriller,GER,Fritz Lang,Peter Lorre | Otto Wernicke | Gustaf Gründgens,8.3,100.000,95.000,https://www.justwatch.com/de/Film/M-Eine-Stadt-sucht-einen-Moerder,
78,82,Fahrraddiebe,Ladri di biciclette,1948,93,Drama | Thriller,ITA,Vittorio De Sica,Lamberto Maggiorani | Enzo Staiola | Lianella Carell,8.3,99.000,94.000,https://www.justwatch.com/de/Film/Fahrraddiebe,
79,83,Nader und Simin – Eine Trennung,Jodaeiye Nader az Simin,2011,123,Drama | Thriller,IRN,Asghar Farhadi,Payman Maadi | Leila Hatami | Sareh Bayat,8.3,99.000,92.000,https://www.justwatch.com/de/Film/Nader-und-Simin-eine-Trennung,
80,84,Citizen Kane,,1941,119,Drama | Mystery,USA,Orson Welles,Orson Welles | Joseph Cotten | Dorothy Comingore,8.3,99.000,90.000,https://www.justwatch.com/de/Film/Citizen-Kane,
81,85,Einmal wirklich leben,生きる / Ikiru,1952,143,Drama | Tragödie,JAP,Akira Kurosawa,Takashi Shimura | Nobuo Kaneko | Shin'ichi Himori,8.3,98.000,97.000,https://www.justwatch.com/de/Film/Ikiru-Einmal-wirklich-leben,
82,86,"Dr. Seltsam oder: Wie ich lernte, die Bombe zu lieben",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,93,Komödie | Krieg,UK | USA,Stanley Kubrick,Peter Sellers | George C. Scott | Sterling Hayden,8.3,98.000,94.000,https://www.justwatch.com/de/Film/Dr-Seltsam-oder-wie-ich-lernte-die-Bombe-zu-lieben,
83,87,Der Mann mit der Kamera,Tschelowek s kinoapparatom,1929,68,Drama | Stummfilm,UdSSR,Dziga Vertov,Mikhail Kaufman | Elizaveta Svilova,8.3,98.000,88.000,https://www.justwatch.com/de/Film/Der-Mann-mit-der-Kamera,
84,88,Frau ohne Gewissen,Double Indemnity,1944,107,Drama | Krimi,USA,Billy Wilder,Fred MacMurray | Barbara Stanwyck | Edward G. Robinson,8.3,97.000,95.000,https://www.justwatch.com/de/Film/Frau-ohne-Gewissen,
85,89,Der unsichtbare Dritte,North by Northwest,1959,136,Mystery | Thriller,USA,Alfred Hitchcock,Cary Grant | Eva Marie Saint | James Mason,8.3,97.000,94.000,https://www.justwatch.com/de/Film/Der-unsichtbare-Dritte,
86,90,Metropolis,,1927,153,Drama | Sci-Fi,GER,Fritz Lang,Gustav Fröhlich | Brigitte Helm | Alfred Abel,8.3,97.000,92.000,https://www.justwatch.com/de/Film/Metropolis-restaurierte-Fassung,
1173,91,Taare Zameen Par: Ein Stern auf Erden,तारे ज़मीन पर / Taare Zameen Par,2007,165,Drama | Drama,IND,Aamir Khan,Darsheel Safary | Aamir Khan | Tisca Chopra,8.3,93.000,96.000,https://www.justwatch.com/de/Film/Taare-Zameen-Par-Ein-Stern-auf-Erden,
87,92,Der Clou,The Sting,1973,129,Komödie | Krimi,USA,George Roy Hill,Paul Newman | Robert Redford | Robert Shaw,8.3,93.000,95.000,https://www.justwatch.com/de/Film/Der-Clou,
88,93,Prinzessin Mononoke,もののけ姫 / Mononoke-hime,1997,133,Abenteuer | Fantasy,JAP,Hayao Miyazaki,,8.3,93.000,94.000,https://www.justwatch.com/de/Film/Prinzessin-Mononoke,
89,94,Das Appartement,The Apartment,1960,125,Komödie | Romanze,USA,Billy Wilder,Jack Lemmon | Shirley MacLaine | Fred MacMurray,8.3,93.000,94.000,https://www.justwatch.com/de/Film/Das-Appartement,
90,95,Lawrence von Arabien,Lawrence of Arabia,1962,227,Abenteuer | Krieg,UK,David Lean,Peter O'Toole | Omar Sharif | Alec Guinness,8.3,93.000,93.000,https://www.justwatch.com/de/Film/Lawrence-von-Arabien,
91,96,Wer die Nachtigall stört,To Kill a Mockingbird,1962,129,Drama | Krimi,USA,Robert Mulligan,Gregory Peck | Mary Badham | Phillip Alford,8.3,93.000,93.000,https://www.justwatch.com/de/Film/Wer-die-Nachtigall-stoert,
1174,97,Urteil von Nürnberg,Judgment at Nuremberg,1961,179,Drama | Thriller,USA,Stanley Kramer,Spencer Tracy | Burt Lancaster | Richard Widmark,8.3,93.000,93.000,https://www.justwatch.com/de/Film/Das-Urteil-von-Nuernberg,
92,98,Vertigo – Aus dem Reich der Toten,Vertigo,1958,128,Mystery | Thriller,USA,Alfred Hitchcock,James Stewart | Kim Novak | Barbara Bel Geddes,8.3,93.000,92.000,https://www.justwatch.com/de/Film/Vertigo-Aus-dem-Reich-der-Toten,
93,99,Oppenheimer,,2023,180,Drama | Thriller,USA,Christopher Nolan,Cillian Murphy | Emily Blunt | Robert Downey Jr.,8.3,93.000,91.000,https://www.justwatch.com/de/Film/Oppenheimer,
94,100,Vergiss mein nicht!,Eternal Sunshine of the Spotless Mind,2004,108,Romanze | Sci-Fi,USA,Michel Gondry,Jim Carrey | Kate Winslet | Kirsten Dunst,8.3,92.000,94.000,https://www.justwatch.com/de/Film/Vergiss-mein-nicht-2004,
95,101,Die Jagd,Jagten,2012,115,Drama | Tragödie,DEN | SWE,Thomas Vinterberg,Mads Mikkelsen | Thomas Bo Larsen | Annika Wedderkopp,8.3,92.000,93.000,https://www.justwatch.com/de/Film/Die-Jagd,
96,102,"Die Frau, die singt",Incendies,2010,130,Drama | Thriller,CAN,Denis Villeneuve,Lubna Azabal | Mélissa Désormeaux-Poulin | Maxim Gaudette,8.3,91.000,92.000,https://www.justwatch.com/de/Film/Die-Frau-die-singt-Incendies,
97,103,Die fabelhafte Welt der Amelie,Le Fabuleux Destin d’Amélie Poulain,2001,122,Komödie | Romanze,FRA | GER,Jean-Pierre Jeunet,Audrey Tautou | Mathieu Kassovitz | Rufus,8.3,90.000,95.000,https://www.justwatch.com/de/Film/Die-fabelhafte-Welt-der-Amelie,
98,104,Reservoir Dogs – Wilde Hunde,Reservoir Dogs,1992,99,Krimi | Thriller,USA,Quentin Tarantino,Harvey Keitel | Tim Roth | Michael Madsen,8.3,90.000,94.000,https://www.justwatch.com/de/Film/Reservoir-Dogs-Wilde-Hunde,
99,105,2001: Odysee im Weltraum,2001: A Space Odyssey,1968,141,Abenteuer | Sci-Fi,UK | USA,Stanley Kubrick,Keir Dullea | Gary Lockwood | William Sylvester,8.3,90.000,89.000,https://www.justwatch.com/de/Film/2001-Odyssee-im-Weltraum,
100,106,Komm und sieh,Idi i smotri,1985,146,Drama | Krieg,UdSSR,Elem Klimov,Aleksey Kravchenko | Olga Mironova | Liubomiras Laucevicius,8.3,89.000,96.000,https://www.justwatch.com/de/Film/Idi-i-smotri,
101,107,American Beauty,,1999,118,Drama | Komödie,USA,Sam Mendes,Kevin Spacey | Annette Bening | Thora Birch,8.3,87.000,93.000,https://www.justwatch.com/de/Film/American-Beauty,
102,108,Es war einmal in Amerika,Once Upon a Time in America,1984,229,Drama | Krimi,ITA | USA,Sergio Leone,Robert de Niro | James Woods | Elizabeth McGovern,8.3,86.000,93.000,https://www.justwatch.com/de/Film/Es-war-einmal-in-Amerika,
103,109,Heat,,1995,170,Krimi | Thriller,USA,Michael Mann,Al Pacino | Robert de Niro | Val Kilmer,8.3,83.000,94.000,https://www.justwatch.com/de/Film/Heat-1995,
104,110,Star Wars: Episode VI – Die Rückkehr der Jedi-Ritter,Return of the Jedi,1983,131,Abenteuer | Sci-Fi,USA,Richard Marquand,Mark Hamill | Harrison Ford | Carrie Fisher,8.3,83.000,94.000,https://www.justwatch.com/de/Film/Star-Wars-VI-Die-Rueckkehr-der-Jedi-Ritter,
105,111,Scarface,,1983,165,Krimi | Thriller,USA,Brian de Palma,Al Pacino | Steven Bauer | Michelle Pfeiffer,8.3,79.000,93.000,https://www.justwatch.com/de/Film/Scarface-Toni-das-Narbengesicht,
106,112,Requiem for a Dream,,2000,102,Drama | Thriller,USA,Darren Aronofsky,Ellen Burstyn | Jared Leto | Jennifer Connelly,8.3,78.000,93.000,https://www.justwatch.com/de/Film/Requiem-for-a-Dream,
107,113,Braveheart,,1995,178,Drama | Krieg,USA,Mel Gibson,Mel Gibson | Sophie Marceau | Patrick McGoohan,8.3,76.000,85.000,https://www.justwatch.com/de/Film/Braveheart,
108,114,Rotbart,赤ひげ / Akahige,1965,185,Drama | Drama,JAP,Akira Kurosawa,Toshirô Mifune | Yūzō Kayama | Kyōko Kagawa,8.3,73.000,95.000,https://www.justwatch.com/de/Film/rotbart,
109,115,Ugetsu – Erzählungen unter dem Regenmond,雨月物語 / Ugetsu Monogatari,1953,97,Drama | Fantasy,JAP,Kenji Mizoguchi,Machiko Kyō | Masayuki Mori | Kinuyo Tanaka,8.2,100.000,93.000,https://www.justwatch.com/de/Film/Ugetsu,
110,116,Der Schatz der Sierra Madre,The Treasure of the Sierra Madre,1948,121,Abenteuer | Western,USA,John Huston,Humphrey Bogart | Walter Huston | Tim Holt,8.2,100.000,93.000,https://www.justwatch.com/de/Film/Der-Schatz-der-Sierra-Madre,
