excel_id,row,title,original_title,release_year,runtime_minutes,genres,countries,director,cast,imdb,tomatometer,popcornmeter,justwatch_url,poster_url
823,1066,Videodrome,,1983,89,Horror | Sci-Fi,CAN | USA,David Cronenberg,James Woods | Deborah Harry | Jack Creley,7.2,83.000,80.000,https://www.justwatch.com/de/Film/Videodrome,
824,1067,Silence,,2016,161,Biografie | Drama,MEX | TWN | UK | USA,Martin Scorsese,Andrew Garfield | Adam Driver | Liam Neeson,7.2,83.000,70.000,https://www.justwatch.com/de/Film/Silence-2016,
1100,1068,Origin,,2023,141,Biografie | Drama,USA,Ava DuVernay,Aunjanue Ellis-Taylor | Jon Bernthal | Niecy Nash-Betts,7.2,82.000,97.000,https://www.justwatch.com/de/Film/origin,
825,1069,Tsotsi,,2005,94,Drama | Krimi,RSA | UK,Gavin Hood,Presley Chweneyagae | Terry Pheto | Kenneth Nkosi,7.2,82.000,86.000,https://www.justwatch.com/de/Film/Tsotsi-Ein-Junge-aus-dem-Ghetto,
826,1070,Angel Heart,,1987,113,Horror | Mystery,CAN | UK | USA,Alan Parker,Mickey Rourke | Robert de Niro | Lisa Bonet,7.2,82.000,81.000,https://www.justwatch.com/de/Film/Angel-Heart,
827,1071,"The Good, the Bad, the Weird","좋은 놈, 나쁜 놈, 이상한 놈 / Jo-eun nom, nappeun nom, isanghan nom",2008,139,Action | Western,KOR,Kim Jee-woon,Song Kang-ho | Lee Byung-hun | Jung Woo-sung,7.2,81.000,83.000,https://www.justwatch.com/de/Film/The-Good-the-Bad-the-Weird,
828,1072,Zurück in die Gegenwart,Star Trek IV: The Voyage Home,1986,119,Action | Sci-Fi,USA,Leonard Nimoy,William Shatner | Leonard Nimoy | DeForest Kelley,7.2,81.000,81.000,https://www.justwatch.com/de/Film/Star-Trek-IV-Zurueck-in-die-Gegenwart,
829,1073,James Bond 007 – GoldenEye,GoldenEye,1995,130,Abenteuer | Action,UK | USA,Martin Campbell,Pierce Brosnan | Sean Bean | Izabella Scorupco,7.2,80.000,83.000,https://www.justwatch.com/de/Film/James-Bond-007-GoldenEye,
1101,1074,The Virgin Suicides,,1999,97,Drama | Tragödie,USA,Sofia Coppola,Kirsten Dunst | Josh Hartnett | James Woods,7.2,80.000,81.000,https://www.justwatch.com/de/Film/The-Virgin-Suicides,
830,1075,Friday,,1995,91,Drama | Komödie,USA,F. Gary Gray,Ice Cube | Chris Tucker | Nia Long,7.2,77.000,91.000,https://www.justwatch.com/de/Film/Friday,
831,1076,Top Secret!,,1984,90,Action | Komödie,UK | USA,"Jim Abrahams, David Zucker, Jerry Zucker",Val Kilmer | Lucy Gutteridge | Omar Sharif,7.2,77.000,80.000,https://www.justwatch.com/de/Film/Top-Secret,
832,1077,Asphalt-Blüten,Scarecrow,1973,112,Drama | Thriller,USA,Jerry Schatzberg,Gene Hackman | Al Pacino | Dorothy Tristan,7.2,76.000,79.000,https://www.justwatch.com/de/Film/Asphalt-Blueten,
833,1078,Sunshine,,2007,107,Sci-Fi | Thriller,UK | USA,Danny Boyle,Cillian Murphy | Chris Evans | Rose Byrne,7.2,76.000,73.000,https://www.justwatch.com/de/Film/Sunshine-2007,
1227,1079,Infernal Affairs 2,無間道 II / Pinyin Wújiāndào II,2003,119,Drama | Krimi,CHN | HKG | SGP,Andrew Lau,Anthony Wong | Eric Tsang | Edison Chen,7.2,75.000,83.000,https://www.justwatch.com/de/Film/Infernal-Affairs-II,
834,1080,Matrix Reloaded,The Matrix Reloaded,2003,136,Action | Sci-Fi,USA,"Lana Wachowski, Lilly Wachowski",Keanu Reeves | Laurence Fishburn | Carrie-Anne Moss,7.2,74.000,72.000,https://www.justwatch.com/de/Film/Matrix-Reloaded,
835,1081,Enter the Void,,2009,161,Drama | Fantasy,FRA | GER | ITA,Gaspar Noé,Nathaniel Brown | Paz de la Huerta | Cyril Roy,7.2,73.000,72.000,https://www.justwatch.com/de/Film/Enter-the-Void,
836,1082,Ronin,,1998,121,Action | Thriller,USA,John Frankenheimer,Robert de Niro | Jean Reno | Natascha McElhone,7.2,70.000,80.000,https://www.justwatch.com/de/Film/Ronin,
837,1083,Memoir of a Murderer,살인자의 기억법 / Sarinjaui gieokbeop,2017,118,Krimi | Thriller,KOR,Won Shin-yun,Sol Kyung-gu | Kim Nam-gil | Seol-hyun,7.2,70.000,79.000,https://www.justwatch.com/de/Film/Memoir-of-a-Murderer,
